term,definition
Git (Joseph),"Git is software that allows us to work on our own projects (like this website), or collaborate as a group. Like Homebrew, Git is a free and open source project. One of the best things about Git is how it tracks every single change that we will make, which is obviously ideal for group projects as well. Git will manage our source code and store it directly on our computer’s."
GitHub ,GitHub is a website that provides web hosting and allows developers to collaborate and practice version control using Git. 
VS Code (Joseph),"Unless you have another preference, VSCode is an incredibly user friendly code editor. As newcomers, we found the debugging support to be helpful in writing, testing and even learning what code is. VSCode can read a wide range of coding languages including HTML, CSS and Python. The editor highlights any errors within your code and even suggests ways to fix them."
Terminal (Tarushi),"You know the little icons and drop down menus on your computer screen? And how you use your mouse/trackpad to accomplish different tasks on the computer by clicking, double-clicking, right-clicking, left-clicking, etc.? The terminal allows you to do all of these things, except through written commands. The terminal is also called the command line, and on a Mac, it comes pre-installed. Some common commands people use include: ""touch[space][file name]"" to create files' ""mkdir[space][folder name]"" to create folders; and ""ls"" to list all the files and directories which exist in the location you're currently situated in."
HTML (Tarushi),
CSS (Joseph: noted from Jeremy),Style language that lets you select certain things on a webpage and you can give them any number of properties
Header (jacqui) ,"The header tag or element in HTML represents the place at the top of the page where you should put the introductory content for your site, like a title, authorship information, and links for navigation. You can use the tags <h1> through <h6> to designate subheaders on the page. "
Anchor (Jacqui) ,"The anchor element in HTML, which looks like <a>, is used alongside <href> to create a hyperlink. The code will look like this: <a href=""link"">text you want to hyperlink</a>. "
Tag (Jacqui) ,A tag in HTML is like a keyword in the code used to show the beginning and end of an HTML element in the markup document. The tags are what help computers turn HTML code into websites. 
Div (Jacqui) ,"The <div> tag in HTML is used to designate a separate section and provide a container for those elements, which can then by styled separately in the style sheet. "
Inspect Element (Jacqui) ,Inspect element is a browser tool that allows you to see the code beneath the hood of websites you visit. This is a great tool to use when learning web design that allows you to see how others have done it. 
Browser (Jacqui) ,A browser is an application that allows users to access the web. It takes the appropriate content from a particular server and displays it on the users' device. 
Markdown (Jacqui) ,"Markdown is a language used to generate a text in HTML. Using Markdown is less difficult and time-consuming than using HTML, but cannot do everything HTML can do. It is a good shorthand to use when creating something simple. [Here is a link](https://dillinger.io/) to a good Markdown editor."
Markup (Jacqui) ,"Markup is a term, borrowed from print editing, for taking a plain text document and adding tags and annotations to it to create an HTML document. It can be a verb or a noun.  "
Style sheet (Jacqui) ,"CSS stands for Cascading Style Sheet. This part of your code will be a separate page from your HTML and will be where you ""style"" the look of your site, including color, images, font, and layout. "
Alt text (Joseph),(Can be referred to as: alt tags and alt descriptions) Alt text: is the written text that is displayed in place of an image on a webpage if the image does not load. Alt text supports screen-reading aids explain these images to visually impaired readers. Also enables search engines to crawl and rank websites more efficiently.
Padding (jacqui) ,"In CSS, padding creates space between content and a defined border. "
Line height (jacqui) ,"In CSS, the line-height property is used to set the distance between lines of text, what is referred to as line spacing in Microsoft Word. "
Float (jacqui) ,"In CSS, the float property moves an object to one side of its container, allowing the text to wrap around it. "
Stack Overflow (jacquii) ,"[Stack Overflow](https://stackoverflow.com/) is a question-and-answer website for developers, where coders help solve each other's problems. It is a great place to check if you get stuck, but isn't [without downsides](https://www.tandfonline.com/doi/full/10.1080/1369118X.2021.1962943)."
Clone (jacqui) ,"In Git, to clone a repository means to make a copy of it that lives on your computer, which you can then make changes to and later ""push"" back onto the site. "
Subtweet (Cherrie - we use the word in the statement but it's not directly relevant to coding a website itself so we can axe this if we want),a tweet that refers to another person's tweet (often in a derogatory or mocking way) without directly mentioning that person
Pixel (px) (Cherrie),a basic unit of measurement for the screen
Comment (Cherrie),"contextual information that the programmer includes in their code to explain what a particular line of code is doing to the reader, so that others can use and adapt the code for their own purposes"
Environment (in a computational context) (Cherrie),the software (eg. VS code) and hardware (eg. a laptop) that you are working with  
,
"Code (Jennifer) - This could be a way to give explicit definitions of our idea of ""coding""",
Margin (Jennifer),
Property (Jennifer),
Em (Jennifer),"A unit that refers to the font size. If something has a 1 inch font size, then the ""em"" is 1 inch. If used for things outside of font size, then those become dependent on it. (relative unit vs. absolute)"
Border (Jennifer),
"Color - HEX, RGB, etc (Jennifer) ",
Rule Set (Jennifer),"A rule set is a section of CSS code that includes the ""selector"" (use better word), curly brackets, and the indented code that follows."
Value (Jennifer),
Selector (Jennifer),
Delclaration Block (Jennifer),
Environment Set-Up (Joseph),An Environment Setup: gathering and downloading all of the things that we will need to code and design a website. This is a vital initial step that can take those less comfortable with technology longer than expected (which is completewly fine!). 
Boilerplate templates (Joseph),"Gives us newcomers a great starting point. Provides a bit of code that we can work off of: a foundation to build from. Much like starting with a microsoft word template, but in code form. [Here](https://www.youtube.com/watch?v=Vz8ml5bOid0) is a good YouTube tutorial. "
WSL (Joseph),"Windows subsystem for Linux (WSL) lets you run a Linux environment, which includes command-line tools and apps (in Windows) "
Repository (Repo) (jacqui) ,"In GitHub, a repository (or repo for short) is the place that contains all of your project's files and its revision history."
Directory (jacqui) ,"In GitHub, a directory is the folder that contains your repository and any other files related to your project.  "
Git command line (Joseph),
Homebrew (Joseph),"Homebrew is a free software package management system (app) that makes installing software on a Mac much easier. Basically, Homebrew will help us install anything we might need for coding that Apple did not already provide."
Git Bash (Joseph),"Git Bash is an application that will allow you to use Git with your Windows Operating System. Git Bash will serve as a command-line shell, which will enable you to use git with the command line in the system. A shell is an application used to communicate with an operating system through your written commands. The Git Bash package includes several components: Bash (Bourne Again Shell), a few basic bash utilities, and Git. Git Bash will enable you to work with the repository and git elements through the commands. If this description sounded like mind-numbing jargon — you are not alone. With that being said, these applications and systems will begin to make a lot more sense as we start to use them to build your site (trust me!)."
